格网左下角经度（度）,格网右上角纬度（度）,格网相对Y坐标,格网相对X坐标,格网ID（唯一）,格网左下角纬度（度）,格网右上角经度（度）,格网编码
"1.139833E+002","2.2559999999999999E+001",15,25,1405,"2.2550000000000001E+001","1.139933E+002","25,15"
"1.1397329999999999E+002","2.2559999999999999E+001",15,24,1404,"2.2550000000000001E+001","1.139833E+002","24,15"
"1.139633E+002","2.2559999999999999E+001",15,23,1403,"2.2550000000000001E+001","1.1397329999999999E+002","23,15"
"1.139533E+002","2.2559999999999999E+001",15,22,1402,"2.2550000000000001E+001","1.139633E+002","22,15"
"1.1394329999999999E+002","2.2559999999999999E+001",15,21,1401,"2.2550000000000001E+001","1.139533E+002","21,15"
"1.139333E+002","2.2559999999999999E+001",15,20,1400,"2.2550000000000001E+001","1.1394329999999999E+002","20,15"
"1.142133E+002","2.2420000000000002E+001",1,48,140,"2.241E+001","1.1422329999999999E+002","48,1"
"1.138733E+002","2.241E+001",0,14,14,"2.2399999999999999E+001","1.1388330000000001E+002","14,0"
"1.139233E+002","2.2559999999999999E+001",15,19,1399,"2.2550000000000001E+001","1.139333E+002","19,15"
"1.1391330000000001E+002","2.2559999999999999E+001",15,18,1398,"2.2550000000000001E+001","1.139233E+002","18,15"
"1.139033E+002","2.2559999999999999E+001",15,17,1397,"2.2550000000000001E+001","1.1391330000000001E+002","17,15"
"1.138933E+002","2.2559999999999999E+001",15,16,1396,"2.2550000000000001E+001","1.139033E+002","16,15"
"1.1388330000000001E+002","2.2559999999999999E+001",15,15,1395,"2.2550000000000001E+001","1.138933E+002","15,15"
"1.138733E+002","2.2559999999999999E+001",15,14,1394,"2.2550000000000001E+001","1.1388330000000001E+002","14,15"
"1.138633E+002","2.2559999999999999E+001",15,13,1393,"2.2550000000000001E+001","1.138733E+002","13,15"
"1.138533E+002","2.2559999999999999E+001",15,12,1392,"2.2550000000000001E+001","1.138633E+002","12,15"
"1.138433E+002","2.2559999999999999E+001",15,11,1391,"2.2550000000000001E+001","1.138533E+002","11,15"
"1.1383329999999999E+002","2.2559999999999999E+001",15,10,1390,"2.2550000000000001E+001","1.138433E+002","10,15"
"1.142033E+002","2.2420000000000002E+001",1,47,139,"2.241E+001","1.142133E+002","47,1"
"1.138233E+002","2.2559999999999999E+001",15,9,1389,"2.2550000000000001E+001","1.1383329999999999E+002","9,15"
"1.138133E+002","2.2559999999999999E+001",15,8,1388,"2.2550000000000001E+001","1.138233E+002","8,15"
"1.1380329999999999E+002","2.2559999999999999E+001",15,7,1387,"2.2550000000000001E+001","1.138133E+002","7,15"
"1.137933E+002","2.2559999999999999E+001",15,6,1386,"2.2550000000000001E+001","1.1380329999999999E+002","6,15"
"1.137833E+002","2.2559999999999999E+001",15,5,1385,"2.2550000000000001E+001","1.137933E+002","5,15"
"1.1377330000000001E+002","2.2559999999999999E+001",15,4,1384,"2.2550000000000001E+001","1.137833E+002","4,15"
"1.137633E+002","2.2559999999999999E+001",15,3,1383,"2.2550000000000001E+001","1.1377330000000001E+002","3,15"
"1.137533E+002","2.2559999999999999E+001",15,2,1382,"2.2550000000000001E+001","1.137633E+002","2,15"
"1.137433E+002","2.2559999999999999E+001",15,1,1381,"2.2550000000000001E+001","1.137533E+002","1,15"
"1.137333E+002","2.2559999999999999E+001",15,0,1380,"2.2550000000000001E+001","1.137433E+002","0,15"
"1.1419329999999999E+002","2.2420000000000002E+001",1,46,138,"2.241E+001","1.142033E+002","46,1"
"1.146433E+002","2.2550000000000001E+001",14,91,1379,"2.2539999999999999E+001","1.146533E+002","91,14"
"1.1463330000000001E+002","2.2550000000000001E+001",14,90,1378,"2.2539999999999999E+001","1.146433E+002","90,14"
"1.146233E+002","2.2550000000000001E+001",14,89,1377,"2.2539999999999999E+001","1.1463330000000001E+002","89,14"
"1.146133E+002","2.2550000000000001E+001",14,88,1376,"2.2539999999999999E+001","1.146233E+002","88,14"
"1.146033E+002","2.2550000000000001E+001",14,87,1375,"2.2539999999999999E+001","1.146133E+002","87,14"
"1.145933E+002","2.2550000000000001E+001",14,86,1374,"2.2539999999999999E+001","1.146033E+002","86,14"
"1.1458329999999999E+002","2.2550000000000001E+001",14,85,1373,"2.2539999999999999E+001","1.145933E+002","85,14"
"1.145733E+002","2.2550000000000001E+001",14,84,1372,"2.2539999999999999E+001","1.1458329999999999E+002","84,14"
"1.145633E+002","2.2550000000000001E+001",14,83,1371,"2.2539999999999999E+001","1.145733E+002","83,14"
"1.1455329999999999E+002","2.2550000000000001E+001",14,82,1370,"2.2539999999999999E+001","1.145633E+002","82,14"
"1.141833E+002","2.2420000000000002E+001",1,45,137,"2.241E+001","1.1419329999999999E+002","45,1"
"1.145433E+002","2.2550000000000001E+001",14,81,1369,"2.2539999999999999E+001","1.1455329999999999E+002","81,14"
"1.145333E+002","2.2550000000000001E+001",14,80,1368,"2.2539999999999999E+001","1.145433E+002","80,14"
"1.1452330000000001E+002","2.2550000000000001E+001",14,79,1367,"2.2539999999999999E+001","1.145333E+002","79,14"
"1.145133E+002","2.2550000000000001E+001",14,78,1366,"2.2539999999999999E+001","1.1452330000000001E+002","78,14"
"1.145033E+002","2.2550000000000001E+001",14,77,1365,"2.2539999999999999E+001","1.145133E+002","77,14"
"1.144933E+002","2.2550000000000001E+001",14,76,1364,"2.2539999999999999E+001","1.145033E+002","76,14"
"1.144833E+002","2.2550000000000001E+001",14,75,1363,"2.2539999999999999E+001","1.144933E+002","75,14"
"1.142833E+002","2.2600000000000001E+001",19,55,1803,"2.259E+001","1.142933E+002","55,19"
"1.1427330000000001E+002","2.2600000000000001E+001",19,54,1802,"2.259E+001","1.142833E+002","54,19"
"1.142633E+002","2.2600000000000001E+001",19,53,1801,"2.259E+001","1.1427330000000001E+002","53,19"
"1.142533E+002","2.2600000000000001E+001",19,52,1800,"2.259E+001","1.142633E+002","52,19"
"1.146133E+002","2.2420000000000002E+001",1,88,180,"2.241E+001","1.146233E+002","88,1"
"1.1391330000000001E+002","2.241E+001",0,18,18,"2.2399999999999999E+001","1.139233E+002","18,0"
"1.142433E+002","2.2600000000000001E+001",19,51,1799,"2.259E+001","1.142533E+002","51,19"
"1.142333E+002","2.2600000000000001E+001",19,50,1798,"2.259E+001","1.142433E+002","50,19"
"1.1422329999999999E+002","2.2600000000000001E+001",19,49,1797,"2.259E+001","1.142333E+002","49,19"
"1.142133E+002","2.2600000000000001E+001",19,48,1796,"2.259E+001","1.1422329999999999E+002","48,19"
"1.142033E+002","2.2600000000000001E+001",19,47,1795,"2.259E+001","1.142133E+002","47,19"
"1.1419329999999999E+002","2.2600000000000001E+001",19,46,1794,"2.259E+001","1.142033E+002","46,19"
"1.141833E+002","2.2600000000000001E+001",19,45,1793,"2.259E+001","1.1419329999999999E+002","45,19"
"1.141733E+002","2.2600000000000001E+001",19,44,1792,"2.259E+001","1.141833E+002","44,19"
"1.1416330000000001E+002","2.2600000000000001E+001",19,43,1791,"2.259E+001","1.141733E+002","43,19"
"1.141533E+002","2.2600000000000001E+001",19,42,1790,"2.259E+001","1.1416330000000001E+002","42,19"
"1.146033E+002","2.2420000000000002E+001",1,87,179,"2.241E+001","1.146133E+002","87,1"
"1.141433E+002","2.2600000000000001E+001",19,41,1789,"2.259E+001","1.141533E+002","41,19"
"1.1413330000000001E+002","2.2600000000000001E+001",19,40,1788,"2.259E+001","1.141433E+002","40,19"
"1.141233E+002","2.2600000000000001E+001",19,39,1787,"2.259E+001","1.1413330000000001E+002","39,19"
"1.141133E+002","2.2600000000000001E+001",19,38,1786,"2.259E+001","1.141233E+002","38,19"
"1.141033E+002","2.2600000000000001E+001",19,37,1785,"2.259E+001","1.141133E+002","37,19"
"1.140933E+002","2.2600000000000001E+001",19,36,1784,"2.259E+001","1.141033E+002","36,19"
"1.1408329999999999E+002","2.2600000000000001E+001",19,35,1783,"2.259E+001","1.140933E+002","35,19"
"1.140733E+002","2.2600000000000001E+001",19,34,1782,"2.259E+001","1.1408329999999999E+002","34,19"
"1.140633E+002","2.2600000000000001E+001",19,33,1781,"2.259E+001","1.140733E+002","33,19"
"1.1405329999999999E+002","2.2600000000000001E+001",19,32,1780,"2.259E+001","1.140633E+002","32,19"
"1.145933E+002","2.2420000000000002E+001",1,86,178,"2.241E+001","1.146033E+002","86,1"
"1.140433E+002","2.2600000000000001E+001",19,31,1779,"2.259E+001","1.1405329999999999E+002","31,19"
"1.140333E+002","2.2600000000000001E+001",19,30,1778,"2.259E+001","1.140433E+002","30,19"
"1.1402330000000001E+002","2.2600000000000001E+001",19,29,1777,"2.259E+001","1.140333E+002","29,19"
"1.140133E+002","2.2600000000000001E+001",19,28,1776,"2.259E+001","1.1402330000000001E+002","28,19"
"1.140033E+002","2.2600000000000001E+001",19,27,1775,"2.259E+001","1.140133E+002","27,19"
"1.139933E+002","2.2600000000000001E+001",19,26,1774,"2.259E+001","1.140033E+002","26,19"
"1.139833E+002","2.2600000000000001E+001",19,25,1773,"2.259E+001","1.139933E+002","25,19"
"1.1397329999999999E+002","2.2600000000000001E+001",19,24,1772,"2.259E+001","1.139833E+002","24,19"
"1.139633E+002","2.2600000000000001E+001",19,23,1771,"2.259E+001","1.1397329999999999E+002","23,19"
"1.139533E+002","2.2600000000000001E+001",19,22,1770,"2.259E+001","1.139633E+002","22,19"
"1.1458329999999999E+002","2.2420000000000002E+001",1,85,177,"2.241E+001","1.145933E+002","85,1"
"1.1394329999999999E+002","2.2600000000000001E+001",19,21,1769,"2.259E+001","1.139533E+002","21,19"
"1.139333E+002","2.2600000000000001E+001",19,20,1768,"2.259E+001","1.1394329999999999E+002","20,19"
"1.139233E+002","2.2600000000000001E+001",19,19,1767,"2.259E+001","1.139333E+002","19,19"
"1.1391330000000001E+002","2.2600000000000001E+001",19,18,1766,"2.259E+001","1.139233E+002","18,19"
"1.139033E+002","2.2600000000000001E+001",19,17,1765,"2.259E+001","1.1391330000000001E+002","17,19"
"1.138933E+002","2.2600000000000001E+001",19,16,1764,"2.259E+001","1.139033E+002","16,19"
"1.1388330000000001E+002","2.2600000000000001E+001",19,15,1763,"2.259E+001","1.138933E+002","15,19"
"1.138733E+002","2.2600000000000001E+001",19,14,1762,"2.259E+001","1.1388330000000001E+002","14,19"
"1.138633E+002","2.2600000000000001E+001",19,13,1761,"2.259E+001","1.138733E+002","13,19"
"1.138533E+002","2.2600000000000001E+001",19,12,1760,"2.259E+001","1.138633E+002","12,19"
"1.145733E+002","2.2420000000000002E+001",1,84,176,"2.241E+001","1.1458329999999999E+002","84,1"
"1.138433E+002","2.2600000000000001E+001",19,11,1759,"2.259E+001","1.138533E+002","11,19"
"1.1383329999999999E+002","2.2600000000000001E+001",19,10,1758,"2.259E+001","1.138433E+002","10,19"
"1.138233E+002","2.2600000000000001E+001",19,9,1757,"2.259E+001","1.1383329999999999E+002","9,19"
"1.138133E+002","2.2600000000000001E+001",19,8,1756,"2.259E+001","1.138233E+002","8,19"
"1.1380329999999999E+002","2.2600000000000001E+001",19,7,1755,"2.259E+001","1.138133E+002","7,19"
"1.137933E+002","2.2600000000000001E+001",19,6,1754,"2.259E+001","1.1380329999999999E+002","6,19"
"1.137833E+002","2.2600000000000001E+001",19,5,1753,"2.259E+001","1.137933E+002","5,19"
"1.1377330000000001E+002","2.2600000000000001E+001",19,4,1752,"2.259E+001","1.137833E+002","4,19"
"1.137633E+002","2.2600000000000001E+001",19,3,1751,"2.259E+001","1.1377330000000001E+002","3,19"
"1.137533E+002","2.2600000000000001E+001",19,2,1750,"2.259E+001","1.137633E+002","2,19"
"1.145633E+002","2.2420000000000002E+001",1,83,175,"2.241E+001","1.145733E+002","83,1"
"1.137433E+002","2.2600000000000001E+001",19,1,1749,"2.259E+001","1.137533E+002","1,19"
"1.137333E+002","2.2600000000000001E+001",19,0,1748,"2.259E+001","1.137433E+002","0,19"
"1.146433E+002","2.259E+001",18,91,1747,"2.2579999999999998E+001","1.146533E+002","91,18"
"1.1463330000000001E+002","2.259E+001",18,90,1746,"2.2579999999999998E+001","1.146433E+002","90,18"
"1.146233E+002","2.259E+001",18,89,1745,"2.2579999999999998E+001","1.1463330000000001E+002","89,18"
"1.146133E+002","2.259E+001",18,88,1744,"2.2579999999999998E+001","1.146233E+002","88,18"
"1.146033E+002","2.259E+001",18,87,1743,"2.2579999999999998E+001","1.146133E+002","87,18"
"1.145933E+002","2.259E+001",18,86,1742,"2.2579999999999998E+001","1.146033E+002","86,18"
"1.1458329999999999E+002","2.259E+001",18,85,1741,"2.2579999999999998E+001","1.145933E+002","85,18"
"1.145733E+002","2.259E+001",18,84,1740,"2.2579999999999998E+001","1.1458329999999999E+002","84,18"
"1.1455329999999999E+002","2.2420000000000002E+001",1,82,174,"2.241E+001","1.145633E+002","82,1"
"1.145633E+002","2.259E+001",18,83,1739,"2.2579999999999998E+001","1.145733E+002","83,18"
"1.1455329999999999E+002","2.259E+001",18,82,1738,"2.2579999999999998E+001","1.145633E+002","82,18"
"1.145433E+002","2.259E+001",18,81,1737,"2.2579999999999998E+001","1.1455329999999999E+002","81,18"
"1.145333E+002","2.259E+001",18,80,1736,"2.2579999999999998E+001","1.145433E+002","80,18"
"1.1422329999999999E+002","2.2460000000000001E+001",5,49,509,"2.2449999999999999E+001","1.142333E+002","49,5"
"1.142133E+002","2.2460000000000001E+001",5,48,508,"2.2449999999999999E+001","1.1422329999999999E+002","48,5"
"1.142033E+002","2.2460000000000001E+001",5,47,507,"2.2449999999999999E+001","1.142133E+002","47,5"
"1.1419329999999999E+002","2.2460000000000001E+001",5,46,506,"2.2449999999999999E+001","1.142033E+002","46,5"
"1.141833E+002","2.2460000000000001E+001",5,45,505,"2.2449999999999999E+001","1.1419329999999999E+002","45,5"
"1.141733E+002","2.2460000000000001E+001",5,44,504,"2.2449999999999999E+001","1.141833E+002","44,5"
"1.1416330000000001E+002","2.2460000000000001E+001",5,43,503,"2.2449999999999999E+001","1.141733E+002","43,5"
"1.141533E+002","2.2460000000000001E+001",5,42,502,"2.2449999999999999E+001","1.1416330000000001E+002","42,5"
"1.141433E+002","2.2460000000000001E+001",5,41,501,"2.2449999999999999E+001","1.141533E+002","41,5"
"1.1413330000000001E+002","2.2460000000000001E+001",5,40,500,"2.2449999999999999E+001","1.141433E+002","40,5"
"1.142333E+002","2.241E+001",0,50,50,"2.2399999999999999E+001","1.142433E+002","50,0"
"1.137833E+002","2.241E+001",0,5,5,"2.2399999999999999E+001","1.137933E+002","5,0"
"1.141233E+002","2.2460000000000001E+001",5,39,499,"2.2449999999999999E+001","1.1413330000000001E+002","39,5"
"1.141133E+002","2.2460000000000001E+001",5,38,498,"2.2449999999999999E+001","1.141233E+002","38,5"
"1.141033E+002","2.2460000000000001E+001",5,37,497,"2.2449999999999999E+001","1.141133E+002","37,5"
"1.140933E+002","2.2460000000000001E+001",5,36,496,"2.2449999999999999E+001","1.141033E+002","36,5"
"1.1408329999999999E+002","2.2460000000000001E+001",5,35,495,"2.2449999999999999E+001","1.140933E+002","35,5"
"1.140733E+002","2.2460000000000001E+001",5,34,494,"2.2449999999999999E+001","1.1408329999999999E+002","34,5"
"1.140633E+002","2.2460000000000001E+001",5,33,493,"2.2449999999999999E+001","1.140733E+002","33,5"
"1.1405329999999999E+002","2.2460000000000001E+001",5,32,492,"2.2449999999999999E+001","1.140633E+002","32,5"
"1.140433E+002","2.2460000000000001E+001",5,31,491,"2.2449999999999999E+001","1.1405329999999999E+002","31,5"
"1.140333E+002","2.2460000000000001E+001",5,30,490,"2.2449999999999999E+001","1.140433E+002","30,5"
"1.1422329999999999E+002","2.241E+001",0,49,49,"2.2399999999999999E+001","1.142333E+002","49,0"
"1.1402330000000001E+002","2.2460000000000001E+001",5,29,489,"2.2449999999999999E+001","1.140333E+002","29,5"
"1.140133E+002","2.2460000000000001E+001",5,28,488,"2.2449999999999999E+001","1.1402330000000001E+002","28,5"
"1.140033E+002","2.2460000000000001E+001",5,27,487,"2.2449999999999999E+001","1.140133E+002","27,5"
"1.139933E+002","2.2460000000000001E+001",5,26,486,"2.2449999999999999E+001","1.140033E+002","26,5"
"1.139833E+002","2.2460000000000001E+001",5,25,485,"2.2449999999999999E+001","1.139933E+002","25,5"
"1.1397329999999999E+002","2.2460000000000001E+001",5,24,484,"2.2449999999999999E+001","1.139833E+002","24,5"
"1.139633E+002","2.2460000000000001E+001",5,23,483,"2.2449999999999999E+001","1.1397329999999999E+002","23,5"
"1.139533E+002","2.2460000000000001E+001",5,22,482,"2.2449999999999999E+001","1.139633E+002","22,5"
"1.1394329999999999E+002","2.2460000000000001E+001",5,21,481,"2.2449999999999999E+001","1.139533E+002","21,5"
"1.139333E+002","2.2460000000000001E+001",5,20,480,"2.2449999999999999E+001","1.1394329999999999E+002","20,5"
"1.142133E+002","2.241E+001",0,48,48,"2.2399999999999999E+001","1.1422329999999999E+002","48,0"
"1.139233E+002","2.2460000000000001E+001",5,19,479,"2.2449999999999999E+001","1.139333E+002","19,5"
"1.1391330000000001E+002","2.2460000000000001E+001",5,18,478,"2.2449999999999999E+001","1.139233E+002","18,5"
"1.139033E+002","2.2460000000000001E+001",5,17,477,"2.2449999999999999E+001","1.1391330000000001E+002","17,5"
"1.138933E+002","2.2460000000000001E+001",5,16,476,"2.2449999999999999E+001","1.139033E+002","16,5"
"1.1388330000000001E+002","2.2460000000000001E+001",5,15,475,"2.2449999999999999E+001","1.138933E+002","15,5"
"1.138733E+002","2.2460000000000001E+001",5,14,474,"2.2449999999999999E+001","1.1388330000000001E+002","14,5"
"1.138633E+002","2.2460000000000001E+001",5,13,473,"2.2449999999999999E+001","1.138733E+002","13,5"
"1.138533E+002","2.2460000000000001E+001",5,12,472,"2.2449999999999999E+001","1.138633E+002","12,5"
"1.138433E+002","2.2460000000000001E+001",5,11,471,"2.2449999999999999E+001","1.138533E+002","11,5"
"1.1383329999999999E+002","2.2460000000000001E+001",5,10,470,"2.2449999999999999E+001","1.138433E+002","10,5"
"1.142033E+002","2.241E+001",0,47,47,"2.2399999999999999E+001","1.142133E+002","47,0"
"1.138233E+002","2.2460000000000001E+001",5,9,469,"2.2449999999999999E+001","1.1383329999999999E+002","9,5"
"1.138133E+002","2.2460000000000001E+001",5,8,468,"2.2449999999999999E+001","1.138233E+002","8,5"
"1.1380329999999999E+002","2.2460000000000001E+001",5,7,467,"2.2449999999999999E+001","1.138133E+002","7,5"
"1.137933E+002","2.2460000000000001E+001",5,6,466,"2.2449999999999999E+001","1.1380329999999999E+002","6,5"
"1.137833E+002","2.2460000000000001E+001",5,5,465,"2.2449999999999999E+001","1.137933E+002","5,5"
"1.1377330000000001E+002","2.2460000000000001E+001",5,4,464,"2.2449999999999999E+001","1.137833E+002","4,5"
"1.137633E+002","2.2460000000000001E+001",5,3,463,"2.2449999999999999E+001","1.1377330000000001E+002","3,5"
"1.137533E+002","2.2460000000000001E+001",5,2,462,"2.2449999999999999E+001","1.137633E+002","2,5"
"1.137433E+002","2.2460000000000001E+001",5,1,461,"2.2449999999999999E+001","1.137533E+002","1,5"
"1.137333E+002","2.2460000000000001E+001",5,0,460,"2.2449999999999999E+001","1.137433E+002","0,5"
"1.1419329999999999E+002","2.241E+001",0,46,46,"2.2399999999999999E+001","1.142033E+002","46,0"
"1.146433E+002","2.2449999999999999E+001",4,91,459,"2.2440000000000001E+001","1.146533E+002","91,4"
"1.1463330000000001E+002","2.2449999999999999E+001",4,90,458,"2.2440000000000001E+001","1.146433E+002","90,4"
"1.146233E+002","2.2449999999999999E+001",4,89,457,"2.2440000000000001E+001","1.1463330000000001E+002","89,4"
"1.146133E+002","2.2449999999999999E+001",4,88,456,"2.2440000000000001E+001","1.146233E+002","88,4"
"1.146033E+002","2.2449999999999999E+001",4,87,455,"2.2440000000000001E+001","1.146133E+002","87,4"
"1.145933E+002","2.2449999999999999E+001",4,86,454,"2.2440000000000001E+001","1.146033E+002","86,4"
"1.1458329999999999E+002","2.2449999999999999E+001",4,85,453,"2.2440000000000001E+001","1.145933E+002","85,4"
"1.145733E+002","2.2449999999999999E+001",4,84,452,"2.2440000000000001E+001","1.1458329999999999E+002","84,4"
"1.145633E+002","2.2449999999999999E+001",4,83,451,"2.2440000000000001E+001","1.145733E+002","83,4"
"1.1455329999999999E+002","2.2449999999999999E+001",4,82,450,"2.2440000000000001E+001","1.145633E+002","82,4"
"1.141833E+002","2.241E+001",0,45,45,"2.2399999999999999E+001","1.1419329999999999E+002","45,0"
"1.145433E+002","2.2449999999999999E+001",4,81,449,"2.2440000000000001E+001","1.1455329999999999E+002","81,4"
"1.145333E+002","2.2449999999999999E+001",4,80,448,"2.2440000000000001E+001","1.145433E+002","80,4"
"1.1452330000000001E+002","2.2449999999999999E+001",4,79,447,"2.2440000000000001E+001","1.145333E+002","79,4"
"1.145133E+002","2.2449999999999999E+001",4,78,446,"2.2440000000000001E+001","1.1452330000000001E+002","78,4"
"1.145033E+002","2.2449999999999999E+001",4,77,445,"2.2440000000000001E+001","1.145133E+002","77,4"
"1.141033E+002","2.243E+001",2,37,221,"2.2420000000000002E+001","1.141133E+002","37,2"
"1.137433E+002","2.2649999999999999E+001",24,1,2209,"2.2640000000000001E+001","1.137533E+002","1,24"
"1.137333E+002","2.2649999999999999E+001",24,0,2208,"2.2640000000000001E+001","1.137433E+002","0,24"
"1.146433E+002","2.2640000000000001E+001",23,91,2207,"2.2629999999999999E+001","1.146533E+002","91,23"
"1.1463330000000001E+002","2.2640000000000001E+001",23,90,2206,"2.2629999999999999E+001","1.146433E+002","90,23"
"1.146233E+002","2.2640000000000001E+001",23,89,2205,"2.2629999999999999E+001","1.1463330000000001E+002","89,23"
"1.146133E+002","2.2640000000000001E+001",23,88,2204,"2.2629999999999999E+001","1.146233E+002","88,23"
"1.146033E+002","2.2640000000000001E+001",23,87,2203,"2.2629999999999999E+001","1.146133E+002","87,23"
"1.145933E+002","2.2640000000000001E+001",23,86,2202,"2.2629999999999999E+001","1.146033E+002","86,23"
"1.1458329999999999E+002","2.2640000000000001E+001",23,85,2201,"2.2629999999999999E+001","1.145933E+002","85,23"
"1.145733E+002","2.2640000000000001E+001",23,84,2200,"2.2629999999999999E+001","1.1458329999999999E+002","84,23"
"1.140933E+002","2.243E+001",2,36,220,"2.2420000000000002E+001","1.141033E+002","36,2"
"1.139533E+002","2.241E+001",0,22,22,"2.2399999999999999E+001","1.139633E+002","22,0"
"1.145633E+002","2.2640000000000001E+001",23,83,2199,"2.2629999999999999E+001","1.145733E+002","83,23"
"1.1455329999999999E+002","2.2640000000000001E+001",23,82,2198,"2.2629999999999999E+001","1.145633E+002","82,23"
"1.145433E+002","2.2640000000000001E+001",23,81,2197,"2.2629999999999999E+001","1.1455329999999999E+002","81,23"
"1.145333E+002","2.2640000000000001E+001",23,80,2196,"2.2629999999999999E+001","1.145433E+002","80,23"
"1.1452330000000001E+002","2.2640000000000001E+001",23,79,2195,"2.2629999999999999E+001","1.145333E+002","79,23"
"1.145133E+002","2.2640000000000001E+001",23,78,2194,"2.2629999999999999E+001","1.1452330000000001E+002","78,23"
"1.145033E+002","2.2640000000000001E+001",23,77,2193,"2.2629999999999999E+001","1.145133E+002","77,23"
"1.144933E+002","2.2640000000000001E+001",23,76,2192,"2.2629999999999999E+001","1.145033E+002","76,23"
"1.144833E+002","2.2640000000000001E+001",23,75,2191,"2.2629999999999999E+001","1.144933E+002","75,23"
"1.1447329999999999E+002","2.2640000000000001E+001",23,74,2190,"2.2629999999999999E+001","1.144833E+002","74,23"
"1.1408329999999999E+002","2.243E+001",2,35,219,"2.2420000000000002E+001","1.140933E+002","35,2"
"1.144633E+002","2.2640000000000001E+001",23,73,2189,"2.2629999999999999E+001","1.1447329999999999E+002","73,23"
"1.144533E+002","2.2640000000000001E+001",23,72,2188,"2.2629999999999999E+001","1.144633E+002","72,23"
"1.1444329999999999E+002","2.2640000000000001E+001",23,71,2187,"2.2629999999999999E+001","1.144533E+002","71,23"
"1.144333E+002","2.2640000000000001E+001",23,70,2186,"2.2629999999999999E+001","1.1444329999999999E+002","70,23"
"1.144233E+002","2.2640000000000001E+001",23,69,2185,"2.2629999999999999E+001","1.144333E+002","69,23"
"1.1441330000000001E+002","2.2640000000000001E+001",23,68,2184,"2.2629999999999999E+001","1.144233E+002","68,23"
"1.144033E+002","2.2640000000000001E+001",23,67,2183,"2.2629999999999999E+001","1.1441330000000001E+002","67,23"
"1.143933E+002","2.2640000000000001E+001",23,66,2182,"2.2629999999999999E+001","1.144033E+002","66,23"
